,DiagCode,Count
1303,2462,228
1304,317,228
1305,71430,228
1306,9953,228
1307,43490,228
1308,36610,228
1309,5934,228
1310,30183,228
1311,56089,227
1312,56213,227
1313,43822,227
1314,V741,227
1315,2189,227
1316,92231,226
1317,59389,226
1318,V090,226
1319,7901,226
1320,V5419,226
1321,3383,225
1322,70725,224
1323,1550,224
1324,3829,224
1325,45119,224
1326,243,224
1327,0416,224
1328,7144,223
1329,2731,223
1330,7515,223
1331,72700,222
1332,7891,222
1333,7098,222
1334,72709,222
1335,7141,222
1336,03842,222
1337,5942,222
1338,24231,221
1339,5949,221
1340,4350,221
1341,24280,221
1342,V4283,221
1343,1540,220
1344,57400,220
1345,7934,220
1346,61801,217
1347,30560,217
1348,4561,216
1349,78839,216
1350,6102,216
1351,E9208,216
1352,4733,215
1353,71580,214
1354,29281,214
1355,29010,213
1356,72611,213
1357,71481,213
1358,193,212
1359,5929,212
1360,4610,212
1361,79399,212
1362,7092,212
1363,4351,211
1364,29181,211
1365,38830,211
1366,71514,211
1367,4353,210
1368,5778,210
1369,56203,210
1370,42613,210
1371,2458,210
1372,5128,210
1373,56202,210
1374,78491,209
1375,41091,209
1376,48242,209
1377,4592,209
1378,6104,209
1379,92320,208
1380,53140,208
1381,30520,208
1382,71518,208
1383,5790,208
1384,24201,208
1385,4548,207
1386,1739,207
1387,2450,207
1388,56201,207
1389,46400,207
1390,0088,207
1391,4262,207
1392,4738,206
1393,71433,206
1394,3674,205
1395,72690,205
1396,71489,205
1397,797,205
1398,24241,204
1399,99931,204
1400,5948,204
1401,71844,204
1402,2460,204
1403,24281,204
1404,29021,204
1405,5780,204
1406,5779,204
1407,2442,204
1408,7142,204
1409,2713,203
1410,460,203
1411,V1508,203
1412,29640,203
1413,4770,203
1414,60091,202
1415,1104,202
1416,7273,202
1417,24211,202
1418,2461,201
1419,V442,201
1420,51882,201
1421,34510,200
1422,25052,200
1423,3314,200
1424,V536,200
1425,5940,200
1426,0419,199
1427,1509,199
1428,29383,199
1429,44422,199
1430,29644,199
1431,2454,199
1432,04185,198
1433,3501,198
1434,25072,198
1435,V1041,197
1436,6110,197
1437,E9270,197
1438,6820,197
1439,36900,196
1440,72619,196
1441,4352,196
1442,5758,196
1443,V151,196
1444,5799,196
1445,7949,195
1446,260,195
1447,6824,195
1448,71592,194
1449,7019,194
1450,2463,194
1451,35800,194
1452,72990,193
1453,4552,193
1454,470,193
1455,29020,193
1456,4542,192
1457,9982,192
1458,7827,192
1459,E8498,191
1460,49310,191
1461,29532,191
1462,7930,191
1463,78939,190
1464,92311,190
1465,V452,190
1466,70701,190
1467,3968,190
1468,2750,190
1469,2867,189
1470,1536,189
1471,72705,189
1472,24230,189
1473,5848,189
1474,6108,188
1475,99529,188
1476,71510,188
1477,1534,188
1478,71432,188
1479,4821,188
1480,78001,188
1481,1972,188
1482,7833,188
1483,72889,188
1484,6278,187
1485,5762,187
1486,4479,187
1487,25012,187
1488,33818,187
1489,23879,187
1490,25013,187
1491,4778,187
1492,25043,187
1493,25063,187
1494,7801,186
1495,78864,186
1496,V1003,186
1497,25071,186
1498,7455,186
1499,43311,185
1500,24221,185
1501,3510,185
1502,V1551,185
1503,71431,185
1504,5300,185
1505,71504,184
1506,71907,184
1507,6113,184
1508,53021,184
1509,03849,184
1510,71954,184
1511,72612,184
1512,33183,184
1513,V4576,183
1514,1888,183
1515,3090,182
1516,3019,182
1517,71517,182
1518,30400,182
1519,2559,182
1520,30401,182
1521,56982,181
1522,99739,181
1523,40311,181
1524,56984,181
1525,4611,181
1526,36619,181
1527,6103,181
1528,5716,181
1529,71695,181
1530,2692,180
1531,2453,180
1532,V0254,180
1533,29623,180
1534,5847,180
1535,29600,179
1536,71849,179
1537,V4611,179
1538,5699,178
1539,71533,178
1540,4618,177
1541,4419,177
1542,6825,177
1543,25639,177
1544,29654,176
1545,36614,176
1546,11284,175
1547,71538,175
1548,29660,175
1549,2630,175
1550,V851,175
1551,V4282,175
1552,51181,175
1553,7135,175
1554,V7389,175
1555,79430,174
1556,60010,173
1557,1960,173
1558,70702,173
1559,5761,173
1560,V446,173
1561,51189,173
1562,37230,173
1563,4658,172
1564,53290,172
1565,70711,172
1566,36960,172
1567,71522,172
1568,7885,172
1569,1533,172
1570,70400,172
1571,78551,172
1572,8360,172
1573,30393,171
1574,51911,171
1575,29043,171
1576,43320,171
1577,5989,170
1578,78723,170
1579,41090,170
1580,481,170
1581,25020,169
1582,71513,169
1583,E8843,169
1584,38010,169
1585,7999,169
1586,40490,169
1587,71955,169
1588,430,169
1589,38630,169
1590,1969,169
1591,25010,168
1592,20301,168
1593,6112,168
1594,V1053,168
1595,29663,167
1596,71948,167
1597,V1021,167
1598,V681,166
1599,V171,166
1600,23872,166
1601,70211,166
1602,4588,166
1603,5999,166
1604,4829,166
1605,E8796,165
1606,6121,165
1607,71523,165
1608,71526,165
1609,71524,165
1610,4519,164
1611,60020,164
1612,4373,164
1613,32751,164
1614,56985,164
1615,4731,164
1616,73392,164
1617,V1002,164
1618,V123,164
1619,V745,164
1620,25051,163
1621,5121,163
1622,29042,163
1623,V037,163
1624,0322,162
1625,25022,162
1626,V072,162
1627,71901,162
1628,72671,162
1629,40301,162
1630,V600,162
1631,8911,162
1632,36511,162
1633,7070,162
1634,3689,162
1635,4476,162
1636,72660,162
1637,72633,162
1638,29631,161
1639,72706,161
1640,71694,161
1641,49321,161
1642,53012,161
1643,99666,161
1644,8471,161
1645,36653,161
1646,0380,161
1647,2971,160
1648,29699,160
1649,43884,160
1650,2252,160
1651,25081,160
1652,7932,160
1653,6115,159
1654,3940,159
1655,7071,159
1656,0340,159
1657,30501,159
1658,59969,159
1659,05319,159
1660,41405,159
1661,71520,159
1662,E8120,159
1663,34550,158
1664,7283,158
1665,7310,158
1666,5846,158
1667,78191,158
1668,29534,158
1669,V122,157
1670,53551,157
1671,V1252,157
1672,7104,157
1673,8820,157
1674,179,157
1675,37921,157
1676,36611,157
1677,81342,157
1678,5309,157
1679,2638,157
1680,3960,156
1681,9975,156
1682,71525,156
1683,42653,156
1684,6120,156
1685,7068,156
1686,V4984,156
1687,20500,156
1688,5719,156
1689,9248,156
1690,49391,156
1691,24931,156
1692,42652,155
1693,2270,155
1694,81200,155
1695,6959,155
1696,9190,155
1697,29041,155
1698,43300,155
1699,E8842,155
1700,9249,154
1701,6953,154
1702,4871,154
1703,60011,154
1704,2866,154
1705,71959,153
1706,61181,153
1707,6109,153
1708,68111,153
1709,92310,153
1710,V1309,153
1711,3181,153
1712,V6406,153
1713,4422,153
1714,25083,152
1715,7350,152
1716,7336,152
1717,25073,152
1718,6116,152
1719,71950,152
1720,71532,152
1721,92410,152
1722,6274,152
1723,71521,152
1724,78832,151
1725,7048,151
1726,60021,151
1727,29653,151
1728,7889,151
1729,71527,151
1730,6262,151
1731,46410,150
1732,8830,150
1733,20380,150
1734,2863,150
1735,25011,150
1736,72740,150
1737,40493,149
1738,4478,149
1739,78064,149
1740,53013,149
1741,4150,149
1742,73342,149
1743,7271,149
1744,68100,149
1745,V1359,148
1746,72632,148
1747,4590,148
1748,8460,148
1749,V1009,148
1750,4650,148
1751,71958,148
1752,56983,148
1753,E8792,148
1754,1123,148
1755,38610,147
1756,V7381,147
1757,V553,147
1758,1736,147
1759,29624,147
1760,2920,147
1761,36251,146
1762,56401,146
1763,72704,146
1764,99832,146
1765,49301,146
1766,4512,146
1767,3969,145
1768,29622,145
1769,485,145
1770,5259,145
1771,72992,145
1772,71512,145
1773,53084,145
1774,1880,145
1775,42610,145
1776,43400,144
1777,24980,144
1778,7911,144
1779,3949,144
1780,V4509,144
1781,6114,144
1782,4613,144
1783,5933,143
1784,61182,143
1785,1734,143
1786,2631,143
1787,52100,143
1788,49311,143
1789,V537,143
1790,07030,143
1791,56489,143
1792,20302,142
1793,24941,142
1794,78499,142
1795,29610,142
1796,70909,142
1797,56981,142
1798,4329,142
1799,4510,142
1800,36600,142
1801,49302,142
1802,E8849,142
1803,41041,142
1804,5839,142
1805,45111,142
1806,2899,141
1807,4612,141
1808,7955,141
1809,1891,141
